top_200_rank,top_200_selection_score,id,performer_name,promotion,brand,source_brand,gender_division,division,game_eligible,availability,role_tier,alignment,archetype,faction_or_team,championships,source_overall,game_overall,rating_basis,rating_confidence,estimated_salary_usd,contract_weeks_remaining,renewal_risk,popularity_overall,star_power,draw_power,merch_appeal,social_buzz,workrate,psychology,stamina,consistency,safety,big_match_ability,charisma,mic_skill,character_work,crowd_connection,segment_versatility,fatigue,durability,injury_risk,recovery_rate,morale,confidence,locker_room_influence,frustration,singles_fit,tag_fit,promo_fit,rivalry_fit,opener_fit,main_event_fit,special_stipulation_fit,primary_roster_source_url,secondary_roster_source_url,ratings_source_url,notes
45,86.95,wwe_smackdown_nia_jax,Nia Jax,WWE,SmackDown,SmackDown,Womens,Womens,Yes,Active,UpperCard,Unknown,Powerhouse,The Irresistible Forces,,88,88,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,1929000,52,35,88,88,88,92,92,87,85,86,83,86,92,84,80,80,91,82,19,80,25,68,72,79,90,34,89,95,80,87,89,93,90,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
46,86.8,wwe_raw_bronson_reed,Bronson Reed,WWE,Raw,Raw,Mens,Mens,Yes,Active,UpperCard,Unknown,Powerhouse,,,88,88,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,1929000,52,35,90,87,88,87,92,86,90,92,89,89,87,93,90,92,86,90,25,83,22,69,75,79,90,38,93,91,91,88,86,88,89,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
47,86.8,aew_aew_bobby_lashley,Bobby Lashley,AEW,AEW,AEW,Mens,Mens,Yes,Active,UpperCard,Unknown,Powerhouse,The Hurt Syndicate,,88,88,Sourced video-game overall used as anchor; component attributes derived for GM simulation,Medium,1677000,52,35,90,87,88,87,92,86,90,92,89,89,87,93,90,92,86,90,25,83,22,69,75,79,90,38,93,91,91,88,86,88,89,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available."
48,86.7,wwe_smackdown_kevin_owens,Kevin Owens,WWE,SmackDown,SmackDown,Mens,Mens,Yes,Active,UpperCard,Unknown,RingGeneral,,,87,87,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,1921000,52,35,88,90,89,88,86,82,82,80,90,91,86,88,86,87,85,86,19,83,20,73,63,76,87,31,91,96,86,85,83,87,92,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
49,86.05,aew_aew_kyle_o_reilly,Kyle O'Reilly,AEW,AEW,AEW,Mens,Mens,Yes,Active,MainEvent,Unknown,Technician,The Paragon & The Congomleration,AEW World Trios Champion,84,84,Sourced video-game overall used as anchor; component attributes derived for GM simulation,Medium,3175000,52,35,85,89,87,81,91,84,83,78,79,85,90,88,88,89,81,87,14,78,22,71,70,79,85,27,84,82,88,86,75,96,87,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available."
50,86.05,aew_aew_cash_wheeler,Cash Wheeler,AEW,AEW,AEW,Mens,Mens,Yes,Active,MainEvent,Unknown,Technician,FTR,AEW World Tag Team Champion,84,84,Sourced video-game overall used as anchor; component attributes derived for GM simulation,Medium,3175000,52,35,85,89,87,81,91,84,83,78,79,85,90,88,88,89,81,87,14,78,22,71,70,79,85,27,84,82,88,86,75,96,87,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available."
51,85.65,wwe_smackdown_damian_priest,Damian Priest,WWE,SmackDown,SmackDown,Mens,Mens,Yes,Active,Midcard,Face,Brawler,Wepa Up,WWE Tag Team Champion,87,87,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,961000,52,25,90,84,87,86,95,90,85,85,83,86,84,87,89,91,91,89,14,85,17,65,76,78,81,15,85,89,90,88,92,82,96,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
52,85.65,wwe_raw_raquel_rodriguez,Raquel Rodriguez,WWE,Raw,Raw,Womens,Womens,Yes,Active,UpperCard,Unknown,RingGeneral,The Judgment Day,,86,86,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,1914000,52,35,89,87,88,89,89,83,89,90,83,85,85,83,78,86,86,83,25,82,21,70,69,77,91,33,94,88,82,84,85,86,92,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
53,85.65,wwe_raw_nattie,Nattie,WWE,Raw,Raw,Womens,Womens,Yes,Active,UpperCard,Unknown,RingGeneral,,,86,86,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,1914000,52,35,89,87,88,89,89,83,89,90,83,85,85,83,78,86,86,83,25,82,21,70,69,77,91,33,94,88,82,84,85,86,92,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
54,85.65,wwe_smackdown_giulia,Giulia,WWE,SmackDown,SmackDown,Womens,Womens,Yes,Active,UpperCard,Unknown,RingGeneral,Giulia & Kiana James,,86,86,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,1914000,52,35,89,87,88,89,89,83,89,90,83,85,85,83,78,86,86,83,25,82,21,70,69,77,91,33,94,88,82,84,85,86,92,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
55,85.55,aew_aew_roderick_strong,Roderick Strong,AEW,AEW,AEW,Mens,Mens,Yes,Active,MainEvent,Unknown,Technician,The Paragon,AEW World Trios Champion,83,83,Sourced video-game overall used as anchor; component attributes derived for GM simulation,Medium,3162000,52,35,88,87,87,86,93,87,81,76,81,85,88,84,83,84,91,83,19,79,30,69,63,70,88,28,90,87,83,87,74,94,84,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available."
56,85.45,aew_aew_ricochet,Ricochet,AEW,AEW,AEW,Mens,Mens,Yes,Active,UpperCard,Unknown,HighFlyer,The Demand,,86,86,Sourced video-game overall used as anchor; component attributes derived for GM simulation,Medium,1664000,52,35,86,88,87,85,84,85,86,82,86,91,88,82,79,78,85,81,18,78,25,66,61,70,88,32,89,82,78,83,81,89,81,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available."
57,85.45,aew_aew_darby_allin,Darby Allin,AEW,AEW,AEW,Mens,Mens,Yes,Active,MainEvent,Unknown,RingGeneral,,AEW World Champion,83,83,Sourced video-game overall used as anchor; component attributes derived for GM simulation,Medium,3162000,52,35,87,87,87,89,93,79,78,81,78,87,89,89,87,91,89,87,22,77,28,65,64,75,93,22,83,87,89,89,75,95,86,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available."
58,85.2,wwe_raw_finn_b_lor,Finn Bálor,WWE,Raw,Raw,Mens,Mens,Yes,Active,Midcard,Face,RingGeneral,The Judgment Day,,88,88,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,964000,52,25,86,87,86,91,82,86,87,93,85,94,83,91,95,89,87,90,22,84,23,72,80,85,89,17,84,94,92,87,87,81,83,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
59,85.15,wwe_raw_sheamus,Sheamus,WWE,Raw,Raw,Mens,Mens,Yes,Active,UpperCard,Unknown,Powerhouse,,,86,86,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,1914000,52,35,86,87,86,86,87,90,87,89,82,85,88,89,89,86,90,87,11,78,24,72,65,77,84,28,87,91,87,88,82,89,93,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
60,84.85,wwe_raw_dominik_mysterio,Dominik Mysterio,WWE,Raw,Raw,Mens,Mens,Yes,Active,Midcard,Tweener,HighFlyer,The Judgment Day,,87,87,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,961000,52,25,87,86,86,85,93,86,84,83,84,84,86,91,93,93,88,91,12,80,21,65,60,73,81,24,89,91,93,89,82,84,90,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
61,84.7,aew_aew_mark_davis,Mark Davis,AEW,AEW,AEW,Mens,Mens,Yes,Active,MainEvent,Unknown,RingGeneral,The Don Callis Family,AEW National Champion,82,82,Sourced video-game overall used as anchor; component attributes derived for GM simulation,Medium,3150000,52,35,84,88,86,88,80,83,80,82,81,86,90,78,79,78,81,79,21,75,33,68,64,73,84,24,84,82,78,83,77,96,84,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available."
62,84.3,wwe_smackdown_alexa_bliss,Alexa Bliss,WWE,SmackDown,SmackDown,Womens,Womens,Yes,Active,Midcard,Face,RingGeneral,,,87,87,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,961000,52,25,88,83,85,90,83,81,90,81,87,90,86,85,90,89,86,88,20,80,28,68,63,76,85,19,91,95,89,87,92,84,92,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
63,84.3,wwe_smackdown_shinsuke_nakamura,Shinsuke Nakamura,WWE,SmackDown,SmackDown,Mens,Mens,Yes,Active,Midcard,Face,RingGeneral,,,86,86,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,957000,52,25,88,85,86,86,85,80,88,87,87,83,85,90,89,91,84,88,22,79,30,65,80,80,81,20,85,95,90,86,84,83,82,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
64,84.3,wwe_raw_jimmy_uso,Jimmy Uso,WWE,Raw,Raw,Mens,Mens,Yes,Active,Midcard,Face,RingGeneral,The Usos,,86,86,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,957000,52,25,88,85,86,86,85,80,88,87,87,83,85,90,89,91,84,88,22,79,30,65,80,80,81,20,85,95,90,86,84,83,82,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
65,83.15,wwe_smackdown_ilja_dragunov,Ilja Dragunov,WWE,SmackDown,SmackDown,Mens,Mens,Yes,Active,Midcard,Face,Technician,,,85,85,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,953000,52,25,85,85,85,80,83,82,84,88,84,85,82,88,88,90,86,87,10,78,21,64,78,80,91,24,87,90,89,85,82,80,89,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
66,83.15,wwe_smackdown_chelsea_green,Chelsea Green,WWE,SmackDown,SmackDown,Womens,Womens,Yes,Active,Midcard,Unknown,Showman,The Green Regime,,85,85,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,953000,52,25,87,84,85,82,89,87,87,78,84,81,80,92,97,94,90,92,17,81,26,69,68,78,86,16,83,81,95,88,85,78,86,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
67,82.7,wwe_raw_roxanne_perez,Roxanne Perez,WWE,Raw,Raw,Womens,Womens,Yes,Active,Midcard,Unknown,RingGeneral,The Judgment Day,,85,85,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,953000,52,25,85,84,84,84,83,86,90,79,86,91,79,82,87,81,85,84,19,84,19,73,61,71,89,16,86,85,84,82,84,77,88,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
68,82.45,aew_aew_tommaso_ciampa,Tommaso Ciampa,AEW,AEW,AEW,Mens,Mens,Yes,Active,Midcard,Unknown,Brawler,DIY,,84,84,Sourced video-game overall used as anchor; component attributes derived for GM simulation,Medium,826000,52,25,86,84,85,85,92,82,87,84,85,83,78,90,91,89,87,88,16,81,20,71,69,79,84,13,82,81,90,85,89,76,86,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available."
69,82.45,aew_aew_mark_briscoe,Mark Briscoe,AEW,AEW,AEW,Mens,Mens,Yes,Active,Midcard,Unknown,Brawler,the Conglomeration,,,84,"Game-derived estimate from roster tier, title status, current availability, and known public role",Low,826000,52,25,86,84,85,85,92,82,87,84,85,83,78,90,91,89,87,88,16,81,20,71,69,79,84,13,82,81,90,85,89,76,86,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available."
70,82.45,wwe_raw_penta,Penta,WWE,Raw,Raw,Mens,Mens,Yes,Active,Midcard,Face,HighFlyer,,Intercontinental Champion,84,84,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,949000,52,25,85,82,83,83,87,84,89,79,87,84,78,80,75,78,89,79,20,73,32,60,64,71,86,26,83,83,76,81,87,76,82,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
71,82.35,aew_aew_christian_cage,Christian Cage,AEW,AEW,AEW,Mens,Mens,Yes,Active,Midcard,Unknown,Powerhouse,Cope & Christian,,,84,"Game-derived estimate from roster tier, title status, current availability, and known public role",Low,826000,52,25,87,82,84,89,93,85,86,77,87,85,83,80,82,83,85,83,15,76,32,65,78,84,90,15,85,86,82,83,81,81,89,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available."
72,82.2,aew_aew_dr_britt_baker_d_m_d,"Dr. Britt Baker, D.M.D.",AEW,AEW,AEW,Womens,Womens,Yes,Inactive,Midcard,Unknown,RingGeneral,,,85,85,Sourced video-game overall used as anchor; component attributes derived for GM simulation,Medium,829000,52,35,85,84,84,84,83,86,90,79,86,91,79,82,87,81,85,84,49,84,19,73,61,71,89,26,82,85,84,82,80,73,88,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available."
73,82.15,wwe_smackdown_solo_sikoa,Solo Sikoa,WWE,SmackDown,SmackDown,Mens,Mens,Yes,Active,Midcard,Heel,RingGeneral,MFT,,85,85,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,953000,52,25,84,82,83,85,85,86,90,85,83,82,81,89,86,92,85,87,17,84,19,73,77,78,84,12,84,91,89,85,83,79,81,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
74,82.15,wwe_raw_original_el_grande_americano,Original El Grande Americano,WWE,Raw,Raw,Mens,Mens,Yes,Active,Midcard,Tweener,RingGeneral,American Made,,85,85,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,953000,52,25,84,82,83,85,85,86,90,85,83,82,81,89,86,92,85,87,17,84,19,73,77,78,84,12,84,91,89,85,83,79,81,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
75,82.15,aew_aew_nick_jackson,Nick Jackson,AEW,AEW,AEW,Mens,Mens,Yes,Active,Midcard,Unknown,RingGeneral,The Young Bucks,,85,85,Sourced video-game overall used as anchor; component attributes derived for GM simulation,Medium,829000,52,25,84,82,83,85,85,86,90,85,83,82,81,89,86,92,85,87,17,84,19,73,77,78,84,12,84,91,89,85,83,79,81,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available."
76,82.15,aew_aew_matt_jackson,Matt Jackson,AEW,AEW,AEW,Mens,Mens,Yes,Active,Midcard,Unknown,RingGeneral,The Young Bucks,,85,85,Sourced video-game overall used as anchor; component attributes derived for GM simulation,Medium,829000,52,25,84,82,83,85,85,86,90,85,83,82,81,89,86,92,85,87,17,84,19,73,77,78,84,12,84,91,89,85,83,79,81,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available."
77,82.15,wwe_raw_el_grande_americano,El Grande Americano,WWE,Raw,Raw,Mens,Mens,Yes,Active,Midcard,Tweener,RingGeneral,,,85,85,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,953000,52,25,84,82,83,85,85,86,90,85,83,82,81,89,86,92,85,87,17,84,19,73,77,78,84,12,84,91,89,85,83,79,81,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
78,82.15,aew_aew_timeless_toni_storm,""Timeless" Toni Storm",AEW,AEW,AEW,Womens,Womens,Yes,Inactive,Midcard,Unknown,Showman,Timeless Love Bombs,,,84,"Game-derived estimate from roster tier, title status, current availability, and known public role",Low,826000,52,35,86,84,85,91,83,86,80,85,87,88,82,93,99,93,84,92,50,79,28,68,60,71,88,36,82,80,97,87,77,76,90,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available."
79,82.0,aew_aew_lena_kross,Lena Kross,AEW,AEW,AEW,Womens,Womens,Yes,Active,MainEvent,Unknown,RingGeneral,Divine Dominion,AEW Women's World Tag Team Champion,79,79,Sourced video-game overall used as anchor; component attributes derived for GM simulation,Medium,3113000,52,35,82,85,83,83,77,73,80,73,82,78,87,79,80,76,80,78,15,73,20,65,67,73,79,32,80,83,78,81,69,93,78,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available."
80,81.85,wwe_smackdown_trick_williams,Trick Williams,WWE,SmackDown,SmackDown,Mens,Mens,Yes,Active,Midcard,Face,RingGeneral,,United States Champion,84,84,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,949000,52,25,81,82,81,79,76,86,82,88,86,85,82,88,86,90,79,86,17,77,26,62,64,75,82,21,83,87,88,83,81,80,83,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
81,81.7,wwe_raw_rey_mysterio,Rey Mysterio,WWE,Raw,Raw,Mens,Mens,Yes,Active,Midcard,Face,HighFlyer,,,84,84,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,949000,52,25,85,82,83,83,87,84,89,79,87,84,78,80,75,78,89,79,20,73,32,60,64,71,86,26,83,83,76,81,87,76,82,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
82,81.5,aew_aew_thunder_rosa,Thunder Rosa,AEW,AEW,AEW,Womens,Womens,Yes,Active,Midcard,Unknown,RingGeneral,,,,84,"Game-derived estimate from roster tier, title status, current availability, and known public role",Low,826000,52,25,84,81,82,80,88,84,85,80,80,87,83,89,85,91,80,86,10,76,31,62,70,75,87,20,87,92,88,83,89,81,86,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available."
83,81.5,wwe_raw_lyra_valkyria,Lyra Valkyria,WWE,Raw,Raw,Womens,Womens,Yes,Active,Midcard,Unknown,RingGeneral,,,84,84,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,949000,52,25,84,81,82,80,88,84,85,80,80,87,83,89,85,91,80,86,10,76,31,62,70,75,87,20,87,92,88,83,89,81,86,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
84,81.5,aew_aew_kris_statlander,Kris Statlander,AEW,AEW,AEW,Womens,Womens,Yes,Active,Midcard,Unknown,RingGeneral,,,,84,"Game-derived estimate from roster tier, title status, current availability, and known public role",Low,826000,52,25,84,81,82,80,88,84,85,80,80,87,83,89,85,91,80,86,10,76,31,62,70,75,87,20,87,92,88,83,89,81,86,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available."
85,81.5,aew_aew_jamie_hayter,Jamie Hayter,AEW,AEW,AEW,Womens,Womens,Yes,Active,Midcard,Unknown,RingGeneral,The Brawling Birds,,,84,"Game-derived estimate from roster tier, title status, current availability, and known public role",Low,826000,52,25,84,81,82,80,88,84,85,80,80,87,83,89,85,91,80,86,10,76,31,62,70,75,87,20,87,92,88,83,89,81,86,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available."
86,81.5,aew_aew_hikaru_shida,Hikaru Shida,AEW,AEW,AEW,Womens,Womens,Yes,Active,Midcard,Unknown,RingGeneral,,,,84,"Game-derived estimate from roster tier, title status, current availability, and known public role",Low,826000,52,25,84,81,82,80,88,84,85,80,80,87,83,89,85,91,80,86,10,76,31,62,70,75,87,20,87,92,88,83,89,81,86,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available."
87,81.5,aew_aew_athena,Athena,AEW,AEW,AEW,Womens,Womens,Yes,Active,Midcard,Unknown,RingGeneral,M.I.T.,,,84,"Game-derived estimate from roster tier, title status, current availability, and known public role",Low,826000,52,25,84,81,82,80,88,84,85,80,80,87,83,89,85,91,80,86,10,76,31,62,70,75,87,20,87,92,88,83,89,81,86,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available."
88,81.25,wwe_raw_ethan_page,Ethan Page,WWE,Raw,Raw,Mens,Mens,Yes,Active,Midcard,Heel,RingGeneral,,,83,83,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,946000,52,25,85,81,83,80,89,85,86,81,85,81,82,85,90,83,89,85,17,78,23,70,75,76,77,14,86,88,86,85,85,80,82,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
89,81.1,aew_aew_konosuke_takeshita,Konosuke Takeshita,AEW,AEW,AEW,Mens,Mens,Yes,Active,Midcard,Unknown,RingGeneral,The Don Callis Family,,,84,"Game-derived estimate from roster tier, title status, current availability, and known public role",Low,826000,52,25,81,82,81,79,76,86,82,88,86,85,82,88,86,90,79,86,17,77,26,62,64,75,82,21,83,87,88,83,81,80,83,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available."
