rank,id,name,status,wikidata_qid,wikidata_label,wikidata_description,commons_file,source_url,license,artist,credit,note
86,wwe-raw-ethan-page,Ethan Page,error,Q45189785,Ethan Page,Canadian professional wrestler,Ethan Page 2012.jpg,https://commons.wikimedia.org/wiki/File:Ethan_Page_2012.jpg,CC BY-SA 2.0,Tabercil,IMG_27552.jpg,HTTPError: 429 Client Error: Too many requests (f061ab2) for url: https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Ethan_Page_2012.jpg/1280px-Ethan_Page_2012.jpg
87,aew-aew-hangman-adam-page,"""Hangman"" Adam Page",error,Q16525240,Adam Page,American professional wrestler,,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://www.wikidata.org/w/api.php?action=wbgetentities&ids=Q16525240&props=claims&format=json
88,wwe-smackdown-carmelo-hayes,Carmelo Hayes,saved,Q105095158,Carmelo Hayes,American professional wrestler,Carmelo Hayes December 2019 (cropped).jpg,https://commons.wikimedia.org/wiki/File:Carmelo_Hayes_December_2019_(cropped).jpg,CC BY 2.0,grenwail,https://flickr.com/photos/165310657@N06/49330929411/,Saved from Wikimedia Commons P18 image
89,aew-aew-konosuke-takeshita,Konosuke Takeshita,saved,Q11598665,Kōnosuke Takeshita,Japanese professional wrestler,Konosuke Takeshita Forbidden Door 2024 06 30 008 (cropped).jpg,https://commons.wikimedia.org/wiki/File:Konosuke_Takeshita_Forbidden_Door_2024_06_30_008_(cropped).jpg,CC BY-SA 4.0,All Elite Wrestling,All Elite Wrestling,Saved from Wikimedia Commons P18 image
90,wwe-raw-austin-theory,Austin Theory,saved,Q55238246,Austin Theory,American professional wrestler,Austin Theory - WWE Live Birmingham April 2023 (cropped).jpg,https://commons.wikimedia.org/wiki/File:Austin_Theory_-_WWE_Live_Birmingham_April_2023_(cropped).jpg,CC BY-SA 4.0,Zippo9310,Own work,Saved from Wikimedia Commons P18 image
91,aew-aew-kyle-fletcher,Kyle Fletcher,error,Q108761177,Kyle Fletcher,Australian professional wrestler,,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://www.wikidata.org/w/api.php?action=wbgetentities&ids=Q108761177&props=claims&format=json
92,aew-aew-shelton-benjamin,Shelton Benjamin,saved,Q299570,Shelton Benjamin,American professional wrestler,Shelton Benjamin ROH Cropped.jpg,https://commons.wikimedia.org/wiki/File:Shelton_Benjamin_ROH_Cropped.jpg,CC BY-SA 2.0,Anton,Flickr: RoH Supercard of Honor VII,Saved from Wikimedia Commons P18 image
93,wwe-raw-joe-hendry,Joe Hendry,saved,Q24702967,Joe Hendry,Scottish professional wrestler,Joe Hendry ROH (cropped).jpg,https://commons.wikimedia.org/wiki/File:Joe_Hendry_ROH_(cropped).jpg,CC BY-SA 4.0,ROH Dojo,https://pbs.twimg.com/media/EQRNJjMXkAEt8t9.jpg,Saved from Wikimedia Commons P18 image
94,wwe-smackdown-ricky-saints,Ricky Saints,error,Q95996088,Ricky Starks,American professional wrestler,WMC AEWSTARKS-CHAMP.jpg,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://commons.wikimedia.org/w/api.php?action=query&titles=File%3AWMC+AEWSTARKS-CHAMP.jpg&prop=imageinfo&iiprop=url%7Cextmetadata%7Csize%7Cmime&iiurlwidth=1200&format=json
95,aew-aew-adam-cole,Adam Cole,saved,Q928045,Adam Cole,American professional wrestler,"Adam Cole, June 2022 (cropped).jpg","https://commons.wikimedia.org/wiki/File:Adam_Cole,_June_2022_(cropped).jpg",CC BY-SA 2.0,Carter Sterling,Forbidden Door (AEW x NJPW),Saved from Wikimedia Commons P18 image
96,wwe-smackdown-michin,Michin,saved,Q1187691,roadside station in Japan,Japanese rest area along roads and highways,Michinoeki yamakita.jpg,https://commons.wikimedia.org/wiki/File:Michinoeki_yamakita.jpg,CC BY-SA 3.0,Filler,Photo taken by Filler.,Saved from Wikimedia Commons P18 image
97,wwe-smackdown-r-truth,R-Truth,saved,Q310690,Ron Killings,American professional wrestler,R-Truth 2010 Tribute to the Troops.jpg,https://commons.wikimedia.org/wiki/File:R-Truth_2010_Tribute_to_the_Troops.jpg,CC BY 2.0,"Shamsuddin Muhammad from Fort Hood, TX, USA",R-Truth,Saved from Wikimedia Commons P18 image
98,wwe-smackdown-the-miz,The Miz,error,,,,,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://www.wikidata.org/w/api.php?action=wbsearchentities&search=The+Miz&language=en&format=json&limit=8
99,wwe-smackdown-jordynne-grace,Jordynne Grace,saved,Q60444867,Jordynne Grace,American professional wrestler,Jordynne Grace at Smash Canusa 2018.jpg,https://commons.wikimedia.org/wiki/File:Jordynne_Grace_at_Smash_Canusa_2018.jpg,CC BY-SA 3.0,Tabercil,Own work,Saved from Wikimedia Commons P18 image
100,wwe-smackdown-lash-legend,Lash Legend,missing,Q112135178,Lash Legend,American professional wrestler and basketball player,,,,,,No Wikidata P18 image
101,aew-aew-dr-britt-baker-d-m-d,"Dr. Britt Baker, D.M.D.",saved,Q61750379,Britt Baker,American professional wrestler,Britt Baker Photo Op GalaxyCon Raleigh 2023.jpg,https://commons.wikimedia.org/wiki/File:Britt_Baker_Photo_Op_GalaxyCon_Raleigh_2023.jpg,CC BY 2.0,"Super Festivals from Ft. Lauderdale, USA",B03306,Saved from Wikimedia Commons P18 image
102,aew-aew-timeless-toni-storm,"""Timeless"" Toni Storm",error,,,,,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://www.wikidata.org/w/api.php?action=wbsearchentities&search=%22Timeless%22+Toni+Storm&language=en&format=json&limit=8
103,wwe-raw-montez-ford,Montez Ford,saved,Q24867184,Montez Ford,American professional wrestler,Montez Ford Jan 2023.jpg,https://commons.wikimedia.org/wiki/File:Montez_Ford_Jan_2023.jpg,Public domain,US Air Force / Jason Wilkinson,230126-F-SE617-1782,Saved from Wikimedia Commons P18 image
104,wwe-smackdown-jacy-jayne,Jacy Jayne,saved,Q109279345,Jacy Jayne,American professional wrestler,Jacy Jayne 2023.jpg,https://commons.wikimedia.org/wiki/File:Jacy_Jayne_2023.jpg,CC BY 2.0,Jonathan Rivera,https://www.flickr.com/photos/202897796@N07/54553431503/,Saved from Wikimedia Commons P18 image
105,wwe-nxt-kelani-jordan,Kelani Jordan,missing,Q123677815,Kelani Jordan,American professional wrestler,,,,,,No Wikidata P18 image
106,wwe-raw-dragon-lee,Dragon Lee,error,Q17712327,Dragon Lee,Mexican professional wrestler,Dragon Lee II.jpg,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://commons.wikimedia.org/w/api.php?action=query&titles=File%3ADragon+Lee+II.jpg&prop=imageinfo&iiprop=url%7Cextmetadata%7Csize%7Cmime&iiurlwidth=1200&format=json
107,wwe-raw-jd-mcdonagh,JD McDonagh,saved,Q28341280,Jordan Devlin,Irish professional wrestler (born 1990),Jordan Devlin 2018.jpg,https://commons.wikimedia.org/wiki/File:Jordan_Devlin_2018.jpg,CC BY-SA 2.0,Miguel Discart Photos Vrac 2,2018-01-20_21-57-07_ILCE-6500_DSC05759,Saved from Wikimedia Commons P18 image
108,wwe-nxt-tony-d-angelo,Tony D'Angelo,saved,Q109672870,Tony D'Angelo,American professional wrestler,Tony D’Angelo.jpg,https://commons.wikimedia.org/wiki/File:Tony_D%E2%80%99Angelo.jpg,CC0,WrestlingGeek5196,Own work,Saved from Wikimedia Commons P18 image
109,wwe-raw-angelo-dawkins,Angelo Dawkins,error,Q17161649,Angelo Dawkins,American professional wrestler,Angelo Dawkins NXT.jpg,https://commons.wikimedia.org/wiki/File:Angelo_Dawkins_NXT.jpg,CC0,JJ Williams,This image has been extracted from another file,HTTPError: 429 Client Error: Too many requests (f061ab2) for url: https://upload.wikimedia.org/wikipedia/commons/c/cb/Angelo_Dawkins_NXT.jpg
110,wwe-raw-je-von-evans,Je'Von Evans,error,Q126870821,Je'Von Evans,American professional wrestler,,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://www.wikidata.org/w/api.php?action=wbgetentities&ids=Q126870821&props=claims&format=json
111,wwe-smackdown-blake-monroe,Blake Monroe,saved,Q112669126,Blake Monroe,British professional wrestler (born 1998),Mariah May in April 2024 (cropped).jpg,https://commons.wikimedia.org/wiki/File:Mariah_May_in_April_2024_(cropped).jpg,CC BY 2.0,J O Y F U L 🐻 V I O L E N C E,https://www.flickr.com/photos/joyfulviolence/53644495492/,Saved from Wikimedia Commons P18 image
112,wwe-smackdown-fallon-henley,Fallon Henley,saved,Q105603858,Tesha Price,American professional wrestler,SHIMMER Volume 101 - Tesha Price 01 (cropped).jpg,https://commons.wikimedia.org/wiki/File:SHIMMER_Volume_101_-_Tesha_Price_01_(cropped).jpg,CC BY-SA 4.0,Goddess of Cats on Flickr,https://www.flickr.com/photos/94990151@N04/albums/72157695711286024,Saved from Wikimedia Commons P18 image
113,wwe-nxt-lola-vice,Lola Vice,missing,Q85862433,Lola Vice,American professional wrestler and mixed martial artist,,,,,,No Wikidata P18 image
114,wwe-raw-maxxine-dupri,Maxxine Dupri,missing,Q113360465,Maxxine Dupri,American professional wrestler and wrestling manager,,,,,,No Wikidata P18 image
115,wwe-nxt-hank-walker,Hank Walker,error,,,,,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Hank+Walker&language=en&format=json&limit=8
116,wwe-nxt-tank-ledger,Tank Ledger,missing,Q133882497,Tank Ledger,American professional wrestler,,,,,,No Wikidata P18 image
117,wwe-raw-ivar,Ivar,missing,Q127069,Ivar,male given name,,,,,,No Wikidata P18 image
118,wwe-nxt-jaida-parker,Jaida Parker,saved,Q125149774,Jaida Parker,American professional wrestler,Jaida Parker on Stay Busy with Armon Sadler.jpg,https://commons.wikimedia.org/wiki/File:Jaida_Parker_on_Stay_Busy_with_Armon_Sadler.jpg,CC BY 3.0,Stay Busy with Armon Sadler,"WWE NXT’s Jaida Parker Talks No Mercy Match v Roxanne Perez, Keith Lee, Her Music Playlists + MORE! at 1:18, cropped, brightened",Saved from Wikimedia Commons P18 image
119,wwe-raw-sol-ruca,Sol Ruca,missing,Q118696580,Sol Ruca,American professional wrestler (born 1999),,,,,,No Wikidata P18 image
120,wwe-raw-erik,Erik,error,,,,,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Erik&language=en&format=json&limit=8
121,wwe-nxt-noam-dar,Noam Dar,saved,Q22958903,Noam Dar,Israeli-Scottish professional wrestler,Noam Dar 041419 cropped.jpg,https://commons.wikimedia.org/wiki/File:Noam_Dar_041419_cropped.jpg,CC BY-SA 4.0,PistonsFan2223,Own work,Saved from Wikimedia Commons P18 image
122,wwe-raw-ivy-nile,Ivy Nile,saved,Q124843670,Ivy Nile,American professional wrestler,Ivy Nile RR25 (cropped).jpg,https://commons.wikimedia.org/wiki/File:Ivy_Nile_RR25_(cropped).jpg,CC BY 2.0,Diego Serrano,WWE Royal Rumble 2025,Saved from Wikimedia Commons P18 image
123,wwe-nxt-izzi-dame,Izzi Dame,missing,Q124987917,Izzi Dame,American professional wrestler,,,,,,No Wikidata P18 image
124,aew-aew-hologram,Hologram,error,Q66724451,Hologram,Mexican professional wrestler,Aramis Coacalco (cropped).jpg,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://commons.wikimedia.org/w/api.php?action=query&titles=File%3AAramis+Coacalco+%28cropped%29.jpg&prop=imageinfo&iiprop=url%7Cextmetadata%7Csize%7Cmime&iiurlwidth=1200&format=json
125,aew-aew-luchasaurus,Luchasaurus,saved,Q3629960,Luchasaurus,American professional wrestler,Luchasaurus in January 2022.jpg,https://commons.wikimedia.org/wiki/File:Luchasaurus_in_January_2022.jpg,CC BY 2.0,LockedIN Magazine,https://www.flickr.com/photos/my9oh4/51810246767/,Saved from Wikimedia Commons P18 image
126,wwe-raw-brutus-creed,Brutus Creed,missing,Q118696715,Drew Kasper,American professional wrestler,,,,,,No Wikidata P18 image
127,wwe-smackdown-johnny-gargano,Johnny Gargano,saved,Q3809720,Johnny Gargano,American professional wrestler,Johnny Gargano June 2018.jpg,https://commons.wikimedia.org/wiki/File:Johnny_Gargano_June_2018.jpg,CC BY-SA 2.0,Miguel Discart,Flickr,Saved from Wikimedia Commons P18 image
128,wwe-nxt-charlie-dempsey,Charlie Dempsey,error,Q118696428,Charlie Dempsey,English professional wrestler,Charlie Dempsey (cropped).jpg,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://commons.wikimedia.org/w/api.php?action=query&titles=File%3ACharlie+Dempsey+%28cropped%29.jpg&prop=imageinfo&iiprop=url%7Cextmetadata%7Csize%7Cmime&iiurlwidth=1200&format=json
129,aew-aew-buddy-matthews,Buddy Matthews,saved,Q18822524,Buddy Matthews,Australian professional wrestler,Buddy Murphy April 2018.jpg,https://commons.wikimedia.org/wiki/File:Buddy_Murphy_April_2018.jpg,CC BY-SA 2.0,Miguel Discart,Flickr,Saved from Wikimedia Commons P18 image
130,aew-aew-dustin-rhodes,Dustin Rhodes,saved,Q314657,Dustin Rhodes,American professional wrestler,Dustin Rhodes Mar 2019.jpg,https://commons.wikimedia.org/wiki/File:Dustin_Rhodes_Mar_2019.jpg,CC BY 3.0,German Comic Con,YouTube: https://www.youtube.com/watch?v=qT8VKGbJW68 – View/save archived versions on archive.org,Saved from Wikimedia Commons P18 image
131,aew-aew-jake-doyle,Jake Doyle,error,Q37803683,Jake Doyle-Hayes,Irish association football player,"Doyle-Hayes, Jake (cropped).jpg","https://commons.wikimedia.org/wiki/File:Doyle-Hayes,_Jake_(cropped).jpg",CC BY-SA 4.0,Skippo10,Own work,HTTPError: 429 Client Error: Too many requests (f061ab2) for url: https://upload.wikimedia.org/wikipedia/commons/8/8f/Doyle-Hayes%2C_Jake_%28cropped%29.jpg
132,aew-aew-josh-alexander,Josh Alexander,error,,,,,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Josh+Alexander&language=en&format=json&limit=8
133,aew-aew-kota-ibushi,Kota Ibushi,saved,Q3201317,Kota Ibushi,Japanese professional wrestler,KotaIbushi.JPG,https://commons.wikimedia.org/wiki/File:KotaIbushi.JPG,CC BY-SA 3.0,The Doppelganger (talk),Photo taken by myself (Adam Etheridge).,Saved from Wikimedia Commons P18 image
134,wwe-nxt-myles-borne,Myles Borne,saved,Q124949952,Myles Borne,American professional wrestler,Myles Borne in November 2024.jpg,https://commons.wikimedia.org/wiki/File:Myles_Borne_in_November_2024.jpg,CC BY-SA 4.0,KMcWrestling Photography,https://www.flickr.com/photos/kmcwrestling/54164987583/,Saved from Wikimedia Commons P18 image
135,wwe-smackdown-nathan-frazer,Nathan Frazer,error,Q112275718,Nathan Frazer,English professional wrestler,"Benjamin Carter, July 2020 (cropped 2).jpg","https://commons.wikimedia.org/wiki/File:Benjamin_Carter,_July_2020_(cropped_2).jpg",CC BY 2.0,grenwail,https://www.flickr.com/photos/165310657@N06/50168137186/,HTTPError: 429 Client Error: Too many requests (f061ab2) for url: https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Benjamin_Carter%2C_July_2020_%28cropped_2%29.jpg/1280px-Benjamin_Carter%2C_July_2020_%28cropped_2%29.jpg
136,wwe-smackdown-axiom,Axiom,error,,,,,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Axiom+wrestler&language=en&format=json&limit=8
137,wwe-nxt-channing-stacks-lorenzo,"Channing ""Stacks"" Lorenzo",missing,Q121133210,Channing Stacks Lorenzo,American professional wrestler,,,,,,No Wikidata P18 image
138,wwe-nxt-josh-briggs,Josh Briggs,saved,Q101216324,Josh Briggs,American professional wrestler,"Josh Briggs, July 2019 (cropped).jpg","https://commons.wikimedia.org/wiki/File:Josh_Briggs,_July_2019_(cropped).jpg",CC BY 2.0,grenwail,https://www.flickr.com/photos/165310657@N06/48409166762/,Saved from Wikimedia Commons P18 image
139,wwe-nxt-nikkita-lyons,Nikkita Lyons,saved,Q110939231,Nikkita Lyons,American professional wrestler,Nikkita Lyons Powerful Look.jpg,https://commons.wikimedia.org/wiki/File:Nikkita_Lyons_Powerful_Look.jpg,CC0,Gerrard Facto Graphics,Own work,Saved from Wikimedia Commons P18 image
140,wwe-smackdown-kit-wilson,Kit Wilson,error,,,,,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Kit+Wilson&language=en&format=json&limit=8
141,wwe-smackdown-royce-keys,Royce Keys,missing,,,,,,,,,No Wikidata entity found
142,wwe-raw-rusev,Rusev,saved,Q2833189,Miro,"Bulgarian professional wrestler, rower and powerlifter",WMC AEWMIRO-CHAMP.jpg,https://commons.wikimedia.org/wiki/File:WMC_AEWMIRO-CHAMP.jpg,CC BY-SA 4.0,Adam Marantz/All Elite Wrestling,All Elite Wrestling,Saved from Wikimedia Commons P18 image
143,wwe-smackdown-tama-tonga,Tama Tonga,saved,Q4726815,Tama Tonga,Tongan professional wrestler,Tama Tonga.JPG,https://commons.wikimedia.org/wiki/File:Tama_Tonga.JPG,CC BY-SA 3.0,ゾーヒョー,Own work,Saved from Wikimedia Commons P18 image
144,wwe-raw-otis,Otis,error,Q19830625,Otis,male given name,,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://www.wikidata.org/w/api.php?action=wbgetentities&ids=Q19830625&props=claims&format=json
145,wwe-nxt-bronco-nima,Bronco Nima,missing,Q131820272,Bronco Nima,American professional wrestler,,,,,,No Wikidata P18 image
146,wwe-nxt-kali-armstrong,Kali Armstrong,missing,Q134610992,Kali Armstrong,American professional wrestler,,,,,,No Wikidata P18 image
147,wwe-nxt-adriana-rizzo,Adriana Rizzo,missing,Q125149786,Adriana Rizzo,American professional wrestler,,,,,,No Wikidata P18 image
148,wwe-nxt-arianna-grace,Arianna Grace,missing,Q122674841,Arianna Grace,Canadian professional wrestler,,,,,,No Wikidata P18 image
149,wwe-nxt-karmen-petrovic,Karmen Petrovic,missing,Q123985867,Karmen Petrovic,Canadian professional wrestler (born 1995),,,,,,No Wikidata P18 image
150,wwe-nxt-kendal-grey,Kendal Grey,error,,,,,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Kendal+Grey&language=en&format=json&limit=8
151,wwe-smackdown-kiana-james,Kiana James,missing,Q116685919,Kiana James,American professional wrestler,,,,,,No Wikidata P18 image
152,wwe-smackdown-lainey-reid,Lainey Reid,missing,Q134718250,Lainey Reid,American professional wrestler,,,,,,No Wikidata P18 image
153,wwe-nxt-lizzy-rain,Lizzy Rain,missing,Q139583984,Lizzy Rain,English professional wrestler,,,,,,No Wikidata P18 image
154,wwe-nxt-myka-lockwood,Myka Lockwood,missing,Q139758933,Myka Lockwood,American professional wrestler and former acrobatics athlete,,,,,,No Wikidata P18 image
155,wwe-smackdown-piper-niven,Piper Niven,error,Q41868855,Piper Niven,Scottish professional wrestler,Piper Niven Jan 2023.jpg,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://commons.wikimedia.org/w/api.php?action=query&titles=File%3APiper+Niven+Jan+2023.jpg&prop=imageinfo&iiprop=url%7Cextmetadata%7Csize%7Cmime&iiurlwidth=1200&format=json
156,wwe-nxt-skylar-raye,Skylar Raye,missing,,,,,,,,,No Wikidata entity found
157,wwe-nxt-tatum-paxley,Tatum Paxley,missing,Q115497389,Tatum Paxley,American professional wrestler,,,,,,No Wikidata P18 image
158,wwe-nxt-thea-hail,Thea Hail,missing,Q115663314,Thea Hail,American professional wrestler,,,,,,No Wikidata P18 image
159,wwe-nxt-wendy-choo,Wendy Choo,saved,Q109669678,Wendy Choo,American professional wrestler,Karen Q in April 2018 (cropped).jpg,https://commons.wikimedia.org/wiki/File:Karen_Q_in_April_2018_(cropped).jpg,Public domain,Goddess Of Cats,https://www.flickr.com/photos/94990151@N04/27813227408/,Saved from Wikimedia Commons P18 image
160,wwe-nxt-wren-sinclair,Wren Sinclair,error,Q125207748,Wren Sinclair,American professional wrestler,,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://www.wikidata.org/w/api.php?action=wbgetentities&ids=Q125207748&props=claims&format=json
161,wwe-nxt-zaria,Zaria,saved,Q147975,Zaria,"city and local government area in Kaduna, Nigeria",Zaria 130085554 1ac87fb1d9.jpg,https://commons.wikimedia.org/wiki/File:Zaria_130085554_1ac87fb1d9.jpg,CC BY-SA 2.0,https://www.flickr.com/photos/shirazc/,https://www.flickr.com/photos/shirazc/130085554/,Saved from Wikimedia Commons P18 image
162,wwe-raw-cruz-del-toro,Cruz Del Toro,missing,Q53213700,Raul Mendoza,Mexican professional wrestler,,,,,,No Wikidata P18 image
163,wwe-smackdown-talla-tonga,Talla Tonga,missing,Q41671742,Leo Tonga,Tongan-born American professional wrestler,,,,,,No Wikidata P18 image
164,wwe-smackdown-angel,Angel,error,Q665157,Angel,unisex given name,,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://www.wikidata.org/w/api.php?action=wbgetentities&ids=Q665157&props=claims&format=json
165,wwe-smackdown-berto,Berto,missing,Q12785799,Berto,male given name,,,,,,No Wikidata P18 image
166,wwe-raw-bravo-americano,Bravo Americano,missing,,,,,,,,,No Wikidata entity found
167,wwe-raw-grayson-waller,Grayson Waller,saved,Q109120783,Grayson Waller,Australian professional wrestler (born 1990),"Grayson Waller - WWE Live (Nottingham UK, October 2023) (cropped).jpg","https://commons.wikimedia.org/wiki/File:Grayson_Waller_-_WWE_Live_(Nottingham_UK,_October_2023)_(cropped).jpg",CC0,Mechanical Elephant,Own work,Saved from Wikimedia Commons P18 image
168,wwe-raw-joaquin-wilde,Joaquin Wilde,error,Q84075,Joaquin Wilde,American professional wrestler,Zema Ion.jpg,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://commons.wikimedia.org/w/api.php?action=query&titles=File%3AZema+Ion.jpg&prop=imageinfo&iiprop=url%7Cextmetadata%7Csize%7Cmime&iiurlwidth=1200&format=json
169,wwe-smackdown-matt-cardona,Matt Cardona,saved,Q139880,Matt Cardona,American professional wrestler,Zack Ryder Jan 2013.jpg,https://commons.wikimedia.org/wiki/File:Zack_Ryder_Jan_2013.jpg,CC BY-SA 2.0,Anton Jackson,https://www.flickr.com/photos/antonjackson/8443629152/in/photostream,Saved from Wikimedia Commons P18 image
170,wwe-raw-rayo-americano,Rayo Americano,missing,,,,,,,,,No Wikidata entity found
171,wwe-nxt-brad-baylor,Brad Baylor,missing,Q133895644,Brad Baylor,American professional wrestler,,,,,,No Wikidata P18 image
172,wwe-nxt-cutler-james,Cutler James,missing,,,,,,,,,No Wikidata entity found
173,wwe-nxt-dion-lennox,Dion Lennox,error,Q131708745,Dion Lennox,American professional wrestler,,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://www.wikidata.org/w/api.php?action=wbgetentities&ids=Q131708745&props=claims&format=json
174,wwe-nxt-ek-prosper,EK Prosper,missing,,,,,,,,,No Wikidata entity found
175,wwe-nxt-elio-lefleur,Elio LeFleur,missing,,,,,,,,,No Wikidata entity found
176,wwe-nxt-jackson-drake,Jackson Drake,missing,Q134710359,Jackson Drake,American professional wrestler,,,,,,No Wikidata P18 image
177,wwe-nxt-jasper-troy,Jasper Troy,missing,Q134593251,Jasper Troy,American professional wrestler,,,,,,No Wikidata P18 image
178,wwe-nxt-kale-dixon,Kale Dixon,missing,,,,,,,,,No Wikidata entity found
179,wwe-nxt-kam-hendrix,Kam Hendrix,error,,,,,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Kam+Hendrix&language=en&format=json&limit=8
180,wwe-nxt-keanu-carver,Keanu Carver,missing,Q137784146,Keanu Carver,American professional wrestler,,,,,,No Wikidata P18 image
181,wwe-nxt-lexis-king,Lexis King,saved,Q58972386,Lexis King,American professional wrestler,"Brian Pillman Jr, 2020 (cropped).jpg","https://commons.wikimedia.org/wiki/File:Brian_Pillman_Jr,_2020_(cropped).jpg",CC BY-SA 2.0,Damian Lynch,https://www.flickr.com/photos/132154044@N04/51081867026/,Saved from Wikimedia Commons P18 image
182,wwe-nxt-lucien-price,Lucien Price,missing,Q6697124,Lucien Price,American journalist,,,,,,No Wikidata P18 image
183,wwe-nxt-mason-rook,Mason Rook,missing,,,,,,,,,No Wikidata entity found
184,wwe-nxt-naraku,Naraku,error,,,,,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Naraku&language=en&format=json&limit=8
185,wwe-nxt-niko-vance,Niko Vance,missing,Q131922847,Niko Vance,American professional wrestler,,,,,,No Wikidata P18 image
186,wwe-nxt-osiris-griffin,Osiris Griffin,missing,,,,,,,,,No Wikidata entity found
187,wwe-nxt-ricky-smokes,Ricky Smokes,saved,Q138909438,Ricky Smokes,American professional wrestler,Ricky Smokes (cropped).jpg,https://commons.wikimedia.org/wiki/File:Ricky_Smokes_(cropped).jpg,Public domain,ZekeDane,https://www.flickr.com/photos/68401677@N02/53789607664/,Saved from Wikimedia Commons P18 image
188,wwe-nxt-saquon-shugars,Saquon Shugars,missing,Q133816472,Saquon Shugars,American professional wrestler (born 2000),,,,,,No Wikidata P18 image
189,wwe-nxt-sean-legacy,Sean Legacy,error,Q134538032,Sean Legacy,American professional wrestler,,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://www.wikidata.org/w/api.php?action=wbgetentities&ids=Q134538032&props=claims&format=json
190,wwe-nxt-shawn-spears,Shawn Spears,saved,Q2572084,Shawn Spears,Canadian professional wrestler,Shawn Spears RCW .jpg,https://commons.wikimedia.org/wiki/File:Shawn_Spears_RCW_.jpg,CC BY 2.0,Brandon Oliver,Flickr,Saved from Wikimedia Commons P18 image
191,wwe-nxt-shiloh-hill,Shiloh Hill,missing,Q126696549,Shiloh Hill,American professional wrestler,,,,,,No Wikidata P18 image
192,wwe-nxt-tate-wilder,Tate Wilder,missing,Q139678566,Tate Wilder,American professional wrestler and former American football player,,,,,,No Wikidata P18 image
193,wwe-nxt-tavion-heights,Tavion Heights,saved,Q30230870,G'Angelo Hancock,American Greco-Roman wrestler,G'Angelo Hancock 2.JPG,https://commons.wikimedia.org/wiki/File:G%27Angelo_Hancock_2.JPG,CC BY-SA 4.0,Jørgen Løken (User:Løken),Own work,Saved from Wikimedia Commons P18 image
194,wwe-nxt-tristan-angels,Tristan Angels,error,,,,,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Tristan+Angels&language=en&format=json&limit=8
195,wwe-smackdown-rey-fenix,Rey Fenix,saved,Q15663642,Fénix,Mexican professional wrestler (born 1990),Fenix 2017.jpg,https://commons.wikimedia.org/wiki/File:Fenix_2017.jpg,CC BY-SA 2.0,Mike Kalasnik,https://www.flickr.com/photos/10542402@N06/34255372120/,Saved from Wikimedia Commons P18 image
196,wwe-raw-julius-creed,Julius Creed,missing,Q118696733,Jacob Kasper,American professional wrestler,,,,,,No Wikidata P18 image
197,wwe-smackdown-elton-prince,Elton Prince,missing,Q95281262,Elton Prince,,,,,,,No Wikidata P18 image
198,wwe-smackdown-candice-lerae,Candice LeRae,error,Q17811695,Candice LeRae,American professional wrestler,Candice LeRae RR25 (cropped).jpg,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://commons.wikimedia.org/w/api.php?action=query&titles=File%3ACandice+LeRae+RR25+%28cropped%29.jpg&prop=imageinfo&iiprop=url%7Cextmetadata%7Csize%7Cmime&iiurlwidth=1200&format=json
